red-stock,green-stock,blue-stock
55,24,121
50,25,125
59,24,118
56,19,125
45,26,129
48,30,121
53,29,118
52,19,129
61,18,121
57,29,114
63,23,114
44,31,125
40,120,40
65,18,118
33,133,33
