red-stock,green-stock,blue-stock,,,,,,,,,
90,103,6,,,,,,,,,
87,107,7,,,,,,,,,
90,103,7,,,,,,,,,
86,107,7,,,,,,,,,
93,100,7,,,,,,,,,
94,100,6,,,,,,,,,
83,110,7,,,,,,,,,
97,97,6,,,,,,,,,
81,111,7,,,,,,,,,
97,97,6,,,,,,,,,
100,94,6,,,,,,,,,
79,114,7,,,,,,,,,
100,94,6,,,,,,,,,
89,104,7,,,,,,,,,
103,91,6,,,,,,,,,
