red-stock,green-stock,blue-stock,,,,,,,,,
5,98,98,,,,,,,,,
182,9,9,,,,,,,,,
10,95,95,,,,,,,,,
5,100,95,,,,,,,,,
5,95,100,,,,,,,,,
14,93,93,,,,,,,,,
10,98,93,,,,,,,,,
174,9,17,,,,,,,,,
10,93,98,,,,,,,,,
174,17,9,,,,,,,,,
167,8,25,,,,,,,,,
160,8,32,,,,,,,,,
5,103,92,,,,,,,,,
167,17,17,,,,,,,,,
5,97,97,,,,,,,,,
