red-stock,green-stock,blue-stock,,,,,,,,,
78,78,43,,,,,,,,,
80,80,40,,,,,,,,,
77,77,46,,,,,,,,,
76,80,44,,,,,,,,,
78,82,41,,,,,,,,,
82,82,37,,,,,,,,,
75,78,47,,,,,,,,,
75,75,49,,,,,,,,,
79,83,37,,,,,,,,,
73,82,45,,,,,,,,,
75,83,42,,,,,,,,,
72,80,48,,,,,,,,,
77,85,38,,,,,,,,,
73,77,50,,,,,,,,,
83,83,33,,,,,,,,,
