red-stock,green-stock,blue-stock
176,12,12
175,13,13
178,11,11
173,13,13
167,22,11
165,24,12
168,21,11
163,25,13
179,11,11
171,14,14
156,33,11
158,32,11
153,35,12
160,27,13
160,30,10
