red-stock,green-stock,blue-stock
129,12,59
122,11,67
125,13,63
118,12,71
133,11,56
126,11,63
122,22,56
118,24,59
126,21,53
113,13,75
137,11,53
116,21,63
120,13,67
111,11,78
116,11,74
