red-stock,green-stock,blue-stock ,,,,,,,,,
67,67,67,,,,,,,,,
98,5,98,,,,,,,,,
97,6,97,,,,,,,,,
164,18,18,,,,,,,,,
108,5,86,,,,,,,,,
103,6,91,,,,,,,,,
106,6,88,,,,,,,,,
103,11,86,,,,,,,,,
106,6,89,,,,,,,,,
103,5,92,,,,,,,,,
106,6,88,,,,,,,,,
100,6,94,,,,,,,,,
105,5,89,,,,,,,,,
103,11,86,,,,,,,,,
103,6,91,,,,,,,,,
