red-stock,green-stock,blue-stock,,,,,,,,,
42,58,100,,,,,,,,,
48,56,96,,,,,,,,,
40,56,104,,,,,,,,,
50,58,92,,,,,,,,,
43,52,104,,,,,,,,,
50,50,100,,,,,,,,,
43,61,96,,,,,,,,,
52,52,96,,,,,,,,,
46,54,100,,,,,,,,,
45,55,100,,,,,,,,,
42,50,108,,,,,,,,,
48,48,104,,,,,,,,,
55,55,91,,,,,,,,,
46,62,92,,,,,,,,,
40,64,96,,,,,,,,,
